"filename", "language", "Dart", "comment", "blank", "total"
"f:\myApp\todo_getx\lib\app\core\theme\theme.dart", "Dart", 81, 0, 6, 87
"f:\myApp\todo_getx\lib\app\core\theme\theme_services.dart", "Dart", 15, 0, 5, 20
"f:\myApp\todo_getx\lib\app\core\utils\convert_time.dart", "Dart", 6, 0, 2, 8
"f:\myApp\todo_getx\lib\app\core\utils\size_config.dart", "Dart", 21, 5, 6, 32
"f:\myApp\todo_getx\lib\app\data\db\db_helper.dart", "Dart", 56, 0, 13, 69
"f:\myApp\todo_getx\lib\app\data\models\task.dart", "Dart", 51, 0, 3, 54
"f:\myApp\todo_getx\lib\app\data\services\notification_services.dart", "Dart", 152, 13, 25, 190
"f:\myApp\todo_getx\lib\app\modules\addTask\bindings\add_task_binding.dart", "Dart", 10, 0, 3, 13
"f:\myApp\todo_getx\lib\app\modules\addTask\controllers\add_task_controller.dart", "Dart", 57, 3, 7, 67
"f:\myApp\todo_getx\lib\app\modules\addTask\views\add_task_view.dart", "Dart", 173, 0, 7, 180
"f:\myApp\todo_getx\lib\app\modules\addTask\views\widgets\color_palette.dart", "Dart", 46, 0, 3, 49
"f:\myApp\todo_getx\lib\app\modules\home\bindings\home_binding.dart", "Dart", 14, 0, 3, 17
"f:\myApp\todo_getx\lib\app\modules\home\controllers\home_controller.dart", "Dart", 18, 0, 5, 23
"f:\myApp\todo_getx\lib\app\modules\home\controllers\task_controller.dart", "Dart", 39, 0, 6, 45
"f:\myApp\todo_getx\lib\app\modules\home\views\home_view.dart", "Dart", 48, 0, 8, 56
"f:\myApp\todo_getx\lib\app\modules\home\views\widgets\add_task_bar.dart", "Dart", 41, 0, 3, 44
"f:\myApp\todo_getx\lib\app\modules\home\views\widgets\button_bottom_sheet.dart", "Dart", 50, 0, 3, 53
"f:\myApp\todo_getx\lib\app\modules\home\views\widgets\date_bar.dart", "Dart", 27, 0, 3, 30
"f:\myApp\todo_getx\lib\app\modules\home\views\widgets\no_task_message.dart", "Dart", 32, 0, 3, 35
"f:\myApp\todo_getx\lib\app\modules\home\views\widgets\show_task.dart", "Dart", 119, 0, 5, 124
"f:\myApp\todo_getx\lib\app\modules\notification\bindings\notification_binding.dart", "Dart", 10, 0, 3, 13
"f:\myApp\todo_getx\lib\app\modules\notification\controllers\notification_controller.dart", "Dart", 16, 0, 4, 20
"f:\myApp\todo_getx\lib\app\modules\notification\views\notification_view.dart", "Dart", 107, 0, 5, 112
"f:\myApp\todo_getx\lib\app\modules\widgets\button.dart", "Dart", 31, 0, 3, 34
"f:\myApp\todo_getx\lib\app\modules\widgets\custom_appbar.dart", "Dart", 15, 0, 2, 17
"f:\myApp\todo_getx\lib\app\modules\widgets\input_field.dart", "Dart", 61, 0, 3, 64
"f:\myApp\todo_getx\lib\app\modules\widgets\task_tile.dart", "Dart", 115, 0, 5, 120
"f:\myApp\todo_getx\lib\app\routes\app_pages.dart", "Dart", 29, 1, 6, 36
"f:\myApp\todo_getx\lib\app\routes\app_routes.dart", "Dart", 12, 2, 5, 19
"f:\myApp\todo_getx\lib\main.dart", "Dart", 21, 0, 5, 26
"Total", "-", 1473, 24, 160, 1657